"rev_name","rev_stars","user_name","Source","rev_date"
,5,"Elisa Fridakkia","Facebook","2016-07-19"
,5,"Vanni Veronesi","Facebook","2016-07-26"
,5,"Antonella Marinangeli","Facebook","2016-07-27"
,5,"Cinzia Gaudino","Facebook","2016-07-31"
"Locale Caratteristico nel Centro Storico-Buona Cucina-Servizio Cordiale",5,"Gerfoglieni","Tripadvisor","2016-08-07"
,5,"Maila Pistola","Facebook","2016-08-25"
,5,"Letizia Lusini","Facebook","2016-09-11"
"Sicilia in bocca!",5,"Maila P","Tripadvisor","2016-09-13"
"Eccellente",5,"Elisa G","Tripadvisor","2016-09-13"
,5,"Silvia Vitali","Facebook","2016-09-24"
,5,"Romina Menichelli","Facebook","2016-09-25"
"Cucina sicula-umbra",4,"Tusciania","Tripadvisor","2016-09-30"
"Buono!",5,"Desirèe B","Tripadvisor","2016-10-03"
"Maria, Nino e Biancomangiare... tutto il resto è noia!",5,"AlessandroEsse","Tripadvisor","2016-10-10"
"Bene non benissimo",4,"Michele R","Tripadvisor","2016-10-16"
"Dalla qualitá e dalla professionalitá solo conferme",4,"Ambrogio F","Tripadvisor","2016-10-18"
"Ristorante tipico e tranquillo",4,"Giorgio R","Tripadvisor","2016-10-23"
"tutto al naturale",5,"natopersoffriggere","Tripadvisor","2016-12-13"
"Sapori e saperi",5,"Lilliepallina","Tripadvisor","2016-12-31"
"Un po' di Sicilia...",4,"Claudia8501","Tripadvisor","2017-01-20"
,5,"Alessandro Sesti","Facebook","2017-01-21"
,5,"Giovanni Maira","Facebook","2017-01-21"
"poesia",5,"paolamangia71","Tripadvisor","2017-01-25"
"TOP",5,"Zuela27","Tripadvisor","2017-01-25"
"OTTIMO!LO CONSIGLIO",4,"Benedetta C","Tripadvisor","2017-01-30"
"Sicilia...Umbria...e Poesia",5,"Rikkardo07","Tripadvisor","2017-02-05"
"La Sicilia in Umbria ma non solo",5,"filippo b","Tripadvisor","2017-02-06"
"L'arte fa la differenza",5,"SilviaSettelune","Tripadvisor","2017-02-25"
,5,"Silvia Bravi","Facebook","2017-02-25"
"Angolo di Sicilia al centro di Foligno",4,"StenoDelfo","Tripadvisor","2017-03-05"
"Ottima cucina condita da una calorosa accoglienza",5,"Daniele F","Tripadvisor","2017-03-20"
"Esperienza unica e rara",5,"Un membro di TripAdvisor","Tripadvisor","2017-04-02"
"Lo consiglio!",5,"mangale75","Tripadvisor","2017-04-03"
"Una piacevolissima scoperta",5,"Stefano C","Tripadvisor","2017-04-09"
"Una piacevole sorpresa",4,"silvia b","Tripadvisor","2017-04-11"
"Una ri-scoperta!",5,"IreneScroppo","Tripadvisor","2017-04-18"
"da non perdere",5,"marcoangelonomi","Tripadvisor","2017-04-18"
"La Sicilia che mancava",5,"gigSpello","Tripadvisor","2017-04-30"
"NoN x tutti.....",3,"Sc0j0","Tripadvisor","2017-05-05"
"Un'esperienza da ripetere",4,"MariannaC59","Tripadvisor","2017-05-06"
"UNO SBALLO !!!",5,"IL P","Tripadvisor","2017-05-22"
,5,"Marco Galli","Facebook","2017-06-03"
"Cucina siciliana d'eccellenza",5,"francescabrizi","Google","2017-06-05"
"Ricreduta",4,"cinziapc","Google","2017-06-10"
"E ormai siamo alla quarta",5,"Stefano C","Google","2017-06-23"
"Qualità, cortesia, accoglienza",5,"silvia b","Tripadvisor","2017-06-25"
,5,"Emilio Agostinelli","Facebook","2017-07-01"
,4,"Orazio Orlandi","Facebook","2017-07-12"
"UNO SPETTACOLO!!",5,"Teresa C","Tripadvisor","2017-08-07"
"SUBLIME!!!!",5,"Ilaria O","Tripadvisor","2017-08-07"
"Eccelenza delle materie prime ed eleganza dei piatti",5,"Claudia8501","Tripadvisor","2017-08-13"
"Consigliato!",5,"federico p","Tripadvisor","2017-08-18"
"atmosfere siciliane in Umbria",4,"Dario A","Tripadvisor","2017-09-06"
"Tris di primi eccellente",5,"lim2","Tripadvisor","2017-10-02"
"Un pranzo pessimo",1,"robertoritucci","Tripadvisor","2017-10-08"
"Bellissimo week end in Umbria",5,"marcela s","Tripadvisor","2017-10-09"
"Qualità ed accoglienza!!",5,"Adriana Maria A","Tripadvisor","2017-10-10"
"Mah",3,"andrea b","Tripadvisor","2017-10-16"
"Speravo meglio",3,"Leosanta","Tripadvisor","2017-10-22"
"Ricerca, stile e qualità",5,"flamantonio","Tripadvisor","2017-10-26"
"Cena per due",2,"Marco F","Tripadvisor","2017-10-28"
"al centro dell’attenzione",5,"eolan","Tripadvisor","2017-10-29"
"Una piacevole scoperta",5,"danyciao","Tripadvisor","2017-10-30"
"100",5,"Desdemona V","Tripadvisor","2017-10-30"
"da buongustai",5,"Viaggiatori2020","Tripadvisor","2017-10-31"
"6 stelle",5,"Daniela C","Tripadvisor","2017-11-04"
"Io era giunto dove giunge chi sogna",5,"RominaSofja","Tripadvisor","2017-11-12"
"Come a casa",5,"Francesca B","Tripadvisor","2017-12-01"
,5,"Mirko Castellani","Facebook","2017-12-04"
"Un altro livello!!!",5,"Manolo R","Tripadvisor","2017-12-10"
"Complimenti",5,"Melania M","Tripadvisor","2017-12-10"
"Ultimo dell’anno Eccellente!",5,"Ida F","Tripadvisor","2018-01-01"
,5,"Luca Petrucci","Facebook","2018-01-02"
"Superlativo....",5,"robertonaish","Tripadvisor","2018-01-07"
,5,"Tommaso Merendoni","Facebook","2018-01-08"
"Cena super!",5,"papi19","Tripadvisor","2018-01-14"
"Come in famiglia",5,"Carolina B","Tripadvisor","2018-01-17"
"Gran goduria!",5,"Alessandro G","Tripadvisor","2018-01-20"
"Cena superlativa",5,"francesco g","Tripadvisor","2018-01-23"
"Una esperienza essenziale",5,"Maurizio N","Tripadvisor","2018-02-18"
,5,"Emanuela Neri","Facebook","2018-02-24"
"La qualità e la ricerca",4,"Massimiliano R","Tripadvisor","2018-03-09"
"Ristorante gourmet",5,"Ursula680","Tripadvisor","2018-03-13"
"eccellente",5,"gianniPerugia","Tripadvisor","2018-03-13"
"Ottima Cena!",4,"Valentina F","Tripadvisor","2018-03-18"
"Spettacolo!!!",5,"Rachi73","Tripadvisor","2018-04-07"
"Per una serata diversa dal solito",4,"Federica F","Tripadvisor","2018-04-22"
"Originalità e grande personalità",5,"Floriana I","Tripadvisor","2018-04-27"
"Sicilia rivisitata",4,"Elio D","Tripadvisor","2018-04-28"
"Piatti siciliani rivisitati in Umbria",4,"emiliosc","Tripadvisor","2018-04-29"
"Fantastico",5,"Mina P","Tripadvisor","2018-04-30"
"Eccezionale",5,"FrancescoCrema","Tripadvisor","2018-05-01"
"Enogastronomia mistica...",5,"Filippo L","Tripadvisor","2018-05-04"
"Pazzesco",5,"Antonello B","Tripadvisor","2018-05-07"
"Piacevole e incompiuto",4,"JaypDoc","Tripadvisor","2018-05-07"
,5,"Amedeo Barbato","Facebook","2018-05-08"
"A+++",5,"SigmundSollen","Tripadvisor","2018-05-30"
"Buono sì ma...",4,"GiorgiaDegliE","Tripadvisor","2018-06-06"
"la Sicilia di casa mia",4,"sunshine_mex","Tripadvisor","2018-06-18"
"Meraviglie gourmet",5,"Laura A","Tripadvisor","2018-06-23"
"La fortuna",5,"Gaetano C","Tripadvisor","2018-07-21"
,4,"La Paolina","Facebook","2018-07-21"
"Dal chiaro accento siciliano",5,"Leokomotiv","Tripadvisor","2018-07-22"
